📽电影频道,#genre#
Now星影台(國)720P,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/40.ts
Now爆谷台720p,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/41.ts
CCTV6,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/480.ts
CCTV6,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/539.ts
CHC动作影院1080p(CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/532.ts
CHC家庭影院480p(CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/531.ts
CHC高清电影1080p(CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/530.ts
HBO 576p,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/610.ts
HBO 576p,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/202.ts
HBO(粵语) 720p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/37.ts
POPC電影頻道720p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/45.ts
AMC最爱电影720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/219.ts
AXN 720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/211.ts
CATCHPLAY 电影台1080p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/216.ts
美亞電影台(粵)720p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/42.ts
美亞電影台(國)720p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/43.ts
美亚电影台湾台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/208.ts
中國電影頻道香港版720p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/44.ts
中国电影频道720p,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65108.ts
鳳凰衛視電影台576p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/20.ts
天映經典(粵)CCM 576p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/67.ts
天映經典(國)CCM 576p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/68.ts
天映頻道(粵)1080p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/124.ts
天映頻道(國)1080p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/125.ts
天映频道(粤)1080p(MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/663.ts
天映频道(国)1080p(MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/664.ts
星空衛視720p(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/145.ts
好莱坞电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/210.ts
好莱坞电影台1080p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/409.ts
壹电影1080p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/222.ts
龙祥时代电影720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/209.ts
私人影院720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/225.ts
影迷数字电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/218.ts
我的欧洲电影720(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/220.ts
华纳电影台540p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/221.ts
华数电影1080p,http://hmfs.f3322.net:3388/hls/40/index.m3u8
纬来电影台1080p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/231.ts
纬来电影台1080p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/429.ts
龙华洋片台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/238.ts
龙华电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/233.ts
龙华经典台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/237.ts
靖天电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/282.ts
经典电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/359.ts
东森电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/179.ts
东森洋片台720p(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/181.ts
📺新聞,#genre#
TVB 無線新聞 News H265 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/3.ts
TVB 無線新聞台 4K (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/8.ts
TVB 無線新聞直播台 4K (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/9.ts
TVB 無線新聞台 CH083 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/13.ts
鳳凰資訊 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/17.ts
HOY 資訊台 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/22.ts
HOY 香港國際財經IBC (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/23.ts
Now 新聞台 CH332 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/29.ts
Now 財經台 CH333 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/30.ts
鳳凰資訊台 CH611 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/88.ts
中天新闻 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/161.ts
东森新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/162.ts
TVBS 新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/163.ts
三立新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/166.ts
台视新闻 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/174.ts
民视新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/164.ts
中视新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/168.ts
华视新闻信息台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/169.ts
寰宇新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/170.ts
寰宇新闻台湾台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/171.ts
年代新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/165.ts
壹电视新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/172.ts
镜电视新闻 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/173.ts
非凡新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/167.ts
三立财经新闻 iNEWS (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/370.ts
SBN 全球财经台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/371.ts
东森财经新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/369.ts
寰宇财经台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/379.ts
台视财经台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/373.ts
非凡商业台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/372.ts
CNN国际新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/382.ts
CNN头条新闻台(HLN) (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/383.ts
BBC World NEWS (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/384.ts
FRANCE24 英文台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/386.ts
VOA美国之音 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/389.ts
半岛国际新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/385.ts
CNBC Asia 财经台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/390.ts
彭博Bloomberg TV (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/387.ts
AI 倪珍播新闻 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/368.ts
CCTV13,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/487.ts
CCTV13,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/546.ts
上海第一财经 (CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/588.ts
CGTN (CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/579.ts
TVB NEWS (美),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/444.ts
美国旧金山 KTSF-26,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/467.ts
加拿大600新闻 (加),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/449.ts
TVB 无线新闻海外台,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/454.ts
东森美洲新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/471.ts
TVB 娱乐新闻台 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/670.ts
凤凰资讯 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/747.ts
Aljazeera (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/752.ts
Bloomberg TV (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/756.ts
BBC World News (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/751.ts
CGTN (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/760.ts
CNA亚洲新闻 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/754.ts
CNN (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/750.ts
CNBC (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/755.ts
